,state,agi_stub,returns,agi,wages,dividends,capital_gains,business_total,year,agi_stub_cat
28,AK,6,35110,3045021,2355484,30854,22846,2598595633,2012.0,"$75,000 under $100,000"
29,AK,7,50760,6818417,5233916,76060,85518,135349246234,2012.0,"$100,000 under $200,000"
30,AK,8,10410,2884970,1802572,63945,138468,298064219980,2012.0,"$200,000 under $500,000"
31,AK,9,1390,942746,385988,30536,82143,28805981738,2012.0,"$500,000 under $1,000,000"
32,AK,10,700,1714390,377783,107664,415994,65706246385,2012.0,"$1,000,000 or more"
33,AZ,0,2761490,151832947,107962804,3772468,7167657,73937484804997,2012.0,No AGI Stub
34,AZ,1,49690,-5007516,386304,85706,214975,-810858-167642,2012.0,Under $1
35,AZ,2,380570,2106124,1586227,59201,-16709,-11977247958,2012.0,"$1 under $10,000"
36,AZ,3,706020,12168454,9308961,153802,5439,39431906648,2012.0,"$10,000 under $25,000"
37,AZ,4,689180,24745434,20051253,236700,51339,142480673610,2012.0,"$25,000 under $50,000"
38,AZ,5,359300,22089334,16598797,276468,109562,218533483978,2012.0,"$50,000 under $75,000"
39,AZ,6,224820,19447888,14282045,262041,136664,262168422916,2012.0,"$75,000 under $100,000"
40,AZ,7,272130,36284557,26292178,640212,550183,992544944559,2012.0,"$100,000 under $200,000"
41,AZ,8,65010,18363383,11826817,561631,956632,1865063771460,2012.0,"$200,000 under $500,000"
42,AZ,9,9850,6643429,3310698,291052,788270,1396703264263,2012.0,"$500,000 under $1,000,000"
43,AZ,10,4930,14991860,4319525,1205655,4371301,3299662257247,2012.0,"$1,000,000 or more"
44,AR,0,1219480,62666234,42706506,3759899,3050202,30498011846717,2012.0,No AGI Stub
45,AR,1,16690,-1163983,106509,17909,49816,-210659-65853,2012.0,Under $1
46,AR,2,198260,1089958,846454,15485,993,-4269136741,2012.0,"$1 under $10,000"
47,AR,3,333330,5710947,4437142,45395,17440,11034400416,2012.0,"$10,000 under $25,000"
48,AR,4,302280,10819312,8786153,71459,47108,55151274176,2012.0,"$25,000 under $50,000"
49,AR,5,155530,9549704,7371594,77840,63051,92769202304,2012.0,"$50,000 under $75,000"
50,AR,6,91480,7897812,5938976,75292,77829,117120157662,2012.0,"$75,000 under $100,000"
51,AR,7,95290,12556216,9169024,179667,241836,490821312803,2012.0,"$100,000 under $200,000"
52,AR,8,21490,6141192,3757530,183216,336416,829179273276,2012.0,"$200,000 under $500,000"
53,AR,9,3430,2311492,1112018,106868,228204,58386486882,2012.0,"$500,000 under $1,000,000"
54,AR,10,1700,7753585,1181107,2986766,1987510,108479268309,2012.0,"$1,000,000 or more"
55,CA,0,16909110,1179870752,813389148,32823301,96469009,7071100650987832,2012.0,No AGI Stub
56,CA,1,337960,-38434949,2879328,668218,2241928,-5706109-759550,2012.0,Under $1
57,CA,2,2385370,13028806,9490896,326624,-63903,-395082417907,2012.0,"$1 under $10,000"
58,CA,3,4020620,68934658,51138034,724791,51038,1862867681995,2012.0,"$10,000 under $25,000"
59,CA,4,3851790,138878679,112147824,1239166,264878,7675216896465,2012.0,"$25,000 under $50,000"
60,CA,5,2145060,131894268,102834546,1497686,499591,11504774680570,2012.0,"$50,000 under $75,000"
61,CA,6,1361410,117843576,89723131,1503374,716726,13650323893053,2012.0,"$75,000 under $100,000"
62,CA,7,2004220,273369904,208589345,4151464,3362986,59423599803514,2012.0,"$100,000 under $200,000"
63,CA,8,643120,182955801,128286561,4535146,7844474,142158899174130,2012.0,"$200,000 under $500,000"
64,CA,9,101080,68183738,37939476,2630669,7187337,119671573158601,2012.0,"$500,000 under $1,000,000"
65,CA,10,58490,223216271,70360007,15546163,74363955,408619034041145,2012.0,"$1,000,000 or more"
66,CO,0,2450150,164960975,112766329,4644807,13586420,99784745441535,2012.0,No AGI Stub
67,CO,1,42410,-3632894,345807,179210,356107,-1111123-181196,2012.0,Under $1
68,CO,2,340580,1779080,1441994,56131,-4302,-13281191669,2012.0,"$1 under $10,000"
69,CO,3,510040,8810041,6745152,125915,30076,37630678753,2012.0,"$10,000 under $25,000"
70,CO,4,580830,21052558,17041426,214013,88094,189420788707,2012.0,"$25,000 under $50,000"
71,CO,5,342330,21091883,16234531,259352,150011,311059625772,2012.0,"$50,000 under $75,000"
72,CO,6,224500,19440738,14748815,260720,187827,381833532708,2012.0,"$75,000 under $100,000"
73,CO,7,307840,41486943,31313205,696841,780429,14803941250103,2012.0,"$100,000 under $200,000"
74,CO,8,82630,23371130,15297177,694934,1437556,2586251955767,2012.0,"$200,000 under $500,000"
75,CO,9,12480,8434250,4039918,397270,1223844,1802301281799,2012.0,"$500,000 under $1,000,000"
76,CO,10,6510,23127246,5558304,1760422,9336779,4313989317454,2012.0,"$1,000,000 or more"
77,CT,0,1741480,159120924,104535878,5445935,13141950,120866595943117,2012.0,No AGI Stub
78,CT,1,24240,-2555831,192563,66516,158720,-697418-135902,2012.0,Under $1
79,CT,2,258240,1286262,939561,53306,-9469,-3764134611,2012.0,"$1 under $10,000"
80,CT,3,323490,5534225,3930955,107173,11507,22418416949,2012.0,"$10,000 under $25,000"
81,CT,4,368160,13425268,10528363,176325,39459,77820533636,2012.0,"$25,000 under $50,000"
82,CT,5,241970,14919545,11378888,227242,66293,120039471337,2012.0,"$50,000 under $75,000"
83,CT,6,163710,14197242,10676878,237507,93602,151693449760,2012.0,"$75,000 under $100,000"
84,CT,7,253620,34524098,26584716,650705,414943,6541111320882,2012.0,"$100,000 under $200,000"
85,CT,8,80700,23416043,16799254,724773,860551,16681391422601,2012.0,"$200,000 under $500,000"
86,CT,9,16450,11205692,7188445,474856,820934,1565178577160,2012.0,"$500,000 under $1,000,000"
87,CT,10,10900,43168380,16316256,2727532,10685409,8528445752084,2012.0,"$1,000,000 or more"
88,DE,0,434150,25866607,18394247,629001,862971,1045107631101,2012.0,No AGI Stub
89,DE,1,4630,-418570,36211,8906,23645,-187088-13673,2012.0,Under $1
90,DE,2,62280,330999,260564,7546,-2148,-112924392,2012.0,"$1 under $10,000"
91,DE,3,95400,1644321,1215843,21310,1064,333580223,2012.0,"$10,000 under $25,000"
92,DE,4,104580,3784184,2954829,37323,5983,2169286287,2012.0,"$25,000 under $50,000"
93,DE,5,61050,3759020,2772818,45503,11931,2930663773,2012.0,"$50,000 under $75,000"
94,DE,6,40100,3473117,2523129,48290,18904,3247553754,2012.0,"$75,000 under $100,000"
95,DE,7,52330,6998752,5236360,118653,79739,138400141176,2012.0,"$100,000 under $200,000"
96,DE,8,11380,3170584,2142363,104970,139003,265485121180,2012.0,"$200,000 under $500,000"
97,DE,9,1590,1063881,560860,56889,97539,22009642920,2012.0,"$500,000 under $1,000,000"
98,DE,10,810,2060319,691270,179613,487312,52253631069,2012.0,"$1,000,000 or more"
99,DC,0,327730,28292757,18776731,917390,2918631,23252061166451,2012.0,No AGI Stub
100,DC,1,4230,-452459,42294,17341,39661,-119770-21103,2012.0,Under $1
101,DC,2,37260,206740,155799,5438,-20,-93640228,2012.0,"$1 under $10,000"
102,DC,3,63730,1091786,827871,16151,2302,-155104804,2012.0,"$10,000 under $25,000"
103,DC,4,80270,2959842,2533940,22909,6133,661762990,2012.0,"$25,000 under $50,000"
104,DC,5,50160,3072732,2615095,33552,13836,649563161,2012.0,"$50,000 under $75,000"
105,DC,6,29470,2547819,2135160,34766,18251,1128557727,2012.0,"$75,000 under $100,000"
106,DC,7,40980,5639501,4561650,116190,74428,61202204688,2012.0,"$100,000 under $200,000"
107,DC,8,16890,4865049,3483070,160211,192242,322639297471,2012.0,"$200,000 under $500,000"
108,DC,9,2950,2011839,970966,99365,191530,531202124470,2012.0,"$500,000 under $1,000,000"
109,DC,10,1790,6349909,1450885,411466,2380269,1506626232015,2012.0,"$1,000,000 or more"
110,FL,0,9226420,528156687,328394671,23412599,53616008,3850249915776557,2012.0,No AGI Stub
111,FL,1,189890,-22935878,1646831,524757,1244847,-4618643-552253,2012.0,Under $1
112,FL,2,1530880,8527278,6148241,236192,-71017,-287261484516,2012.0,"$1 under $10,000"
113,FL,3,2571570,43818965,33050269,1068214,26170,2580423598408,2012.0,"$10,000 under $25,000"
114,FL,4,2193370,78395408,62542026,1384068,216783,8789781803357,2012.0,"$25,000 under $50,000"
115,FL,5,1069120,65580260,47809598,1220472,381735,11232981256063,2012.0,"$50,000 under $75,000"
116,FL,6,631550,54567137,38090597,1100485,473937,11522391036496,2012.0,"$75,000 under $100,000"
117,FL,7,759660,101512421,68671332,2802871,1936873,39994732374219,2012.0,"$100,000 under $200,000"
118,FL,8,210200,60630205,34894527,2953152,3848179,72173862241255,2012.0,"$200,000 under $500,000"
119,FL,9,41770,28483665,12707908,1877585,3652570,6064075999541,2012.0,"$500,000 under $1,000,000"
120,FL,10,28420,109577226,22833340,10244803,41905931,224563771534954,2012.0,"$1,000,000 or more"
121,GA,0,4335320,235414406,174746053,5405921,10176696,138144586197532,2012.0,No AGI Stub
122,GA,1,66780,-5796983,566398,89612,245794,-1002712-367924,2012.0,Under $1
123,GA,2,682770,3822057,3000427,63451,-4082,-16620552266,2012.0,"$1 under $10,000"
124,GA,3,1189110,20168972,16145197,173855,26521,409011501436,2012.0,"$10,000 under $25,000"
125,GA,4,1017650,36426098,30863315,266486,77631,223406481044,2012.0,"$25,000 under $50,000"
126,GA,5,521290,31986149,25379633,324104,122150,323938462560,2012.0,"$50,000 under $75,000"
127,GA,6,317560,27462904,21268692,322689,165941,391781450210,2012.0,"$75,000 under $100,000"
128,GA,7,406650,54556192,41853684,846385,659356,15954191200097,2012.0,"$100,000 under $200,000"
129,GA,8,107510,30580766,21297224,845130,1204588,32735241159675,2012.0,"$200,000 under $500,000"
130,GA,9,17530,11830679,6582096,499588,1049559,2700983394478,2012.0,"$500,000 under $1,000,000"
131,GA,10,8470,24377573,7789387,1974621,6629237,6283838363691,2012.0,"$1,000,000 or more"
132,HI,0,665320,36814360,25693038,811808,1759512,13402441501567,2012.0,No AGI Stub
133,HI,1,12890,-729429,76048,14649,11853,-87601-39448,2012.0,Under $1
134,HI,2,96820,488190,374008,13162,-2069,-6855821,2012.0,"$1 under $10,000"
135,HI,3,140760,2456321,1911120,27948,2717,8493154544,2012.0,"$10,000 under $25,000"
136,HI,4,172130,6242683,5103459,50310,12398,28865183261,2012.0,"$25,000 under $50,000"
137,HI,5,93820,5764409,4338365,65875,22987,38361155623,2012.0,"$50,000 under $75,000"
138,HI,6,59260,5130009,3785662,65514,33659,46880139285,2012.0,"$75,000 under $100,000"
139,HI,7,72430,9600176,6822292,153973,163439,216239358917,2012.0,"$100,000 under $200,000"
140,HI,8,14420,4032350,2283360,138046,301192,369894334551,2012.0,"$200,000 under $500,000"
141,HI,9,1920,1280383,561839,68363,207084,21560295071,2012.0,"$500,000 under $1,000,000"
142,HI,10,850,2549267,436884,213969,1006252,50357963942,2012.0,"$1,000,000 or more"
143,ID,0,679220,33823445,23567978,791087,2160397,25680221068042,2012.0,No AGI Stub
144,ID,1,14050,-1800556,93070,28398,143588,-276731-47698,2012.0,Under $1
145,ID,2,108210,576839,461058,14522,-1318,-60545595,2012.0,"$1 under $10,000"
146,ID,3,163600,2812376,2131324,37246,13325,14591156647,2012.0,"$10,000 under $25,000"
147,ID,4,169000,6093520,4813222,53441,33170,69036196332,2012.0,"$25,000 under $50,000"
148,ID,5,96450,5931618,4526113,60054,49472,98430142082,2012.0,"$50,000 under $75,000"
149,ID,6,56920,4909581,3659875,55364,61786,113755112258,2012.0,"$75,000 under $100,000"
150,ID,7,56580,7396270,5213282,117379,193849,414867214572,2012.0,"$100,000 under $200,000"
151,ID,8,11380,3257713,1722684,101232,256716,625727146002,2012.0,"$200,000 under $500,000"
152,ID,9,2020,1369718,510413,53616,200961,41840151558,2012.0,"$500,000 under $1,000,000"
153,ID,10,1020,3276368,436936,269834,1208847,109055050695,2012.0,"$1,000,000 or more"
154,IL,0,6077090,403120062,279560083,11491503,26224728,2425871111795289,2012.0,No AGI Stub
155,IL,1,80740,-7366430,687737,198383,638648,-1763878-323928,2012.0,Under $1
156,IL,2,961030,4950141,3636356,137041,-18296,-23848671036,2012.0,"$1 under $10,000"
157,IL,3,1348600,23008106,16996651,298779,42841,567811940452,2012.0,"$10,000 under $25,000"
158,IL,4,1363680,49416721,39813408,503649,125891,2830011257203,2012.0,"$25,000 under $50,000"
159,IL,5,821440,50613100,39487951,621547,212901,389716929441,2012.0,"$50,000 under $75,000"
160,IL,6,537820,46539786,35728491,642263,281618,462210832095,2012.0,"$75,000 under $100,000"
161,IL,7,717840,96566785,74183329,1666295,1200899,19772352203159,2012.0,"$100,000 under $200,000"
162,IL,8,193730,55308106,38592698,1688503,2464023,43940202080102,2012.0,"$200,000 under $500,000"
163,IL,9,33670,22815564,12858752,1076090,2209524,4338947786759,2012.0,"$500,000 under $1,000,000"
164,IL,10,18550,61268184,17574711,4658954,19066678,141445281418969,2012.0,"$1,000,000 or more"
165,IN,0,3029600,157568594,114939024,2750925,5528914,95089314251682,2012.0,No AGI Stub
166,IN,1,34820,-2080485,201809,48510,88569,-411462-126813,2012.0,Under $1
167,IN,2,543540,2769000,2010870,55219,-12039,-6682212506,2012.0,"$1 under $10,000"
168,IN,3,701820,11947989,8780796,120635,20664,17594680958,2012.0,"$10,000 under $25,000"
169,IN,4,720870,26017872,20968742,199940,68806,112698603055,2012.0,"$25,000 under $50,000"
170,IN,5,415460,25603809,20335197,225575,114047,195953489834,2012.0,"$50,000 under $75,000"
171,IN,6,263290,22754730,18101967,213630,145171,259293421433,2012.0,"$75,000 under $100,000"
172,IN,7,281200,36837528,28864897,477878,512347,1127622889305,2012.0,"$100,000 under $200,000"
173,IN,8,54930,15652332,9869674,426857,775728,2242692687691,2012.0,"$200,000 under $500,000"
174,IN,9,9260,6259998,2960267,246036,602974,1780784237715,2012.0,"$500,000 under $1,000,000"
175,IN,10,4420,11805820,2844805,736645,3212647,4190438155999,2012.0,"$1,000,000 or more"
176,IA,0,1426710,82730033,56312400,1670942,4002585,49814602218145,2012.0,No AGI Stub
177,IA,1,16950,-1176769,130360,14492,83781,-210065-64969,2012.0,Under $1
178,IA,2,209460,1103414,903320,23144,-40,-546577281,2012.0,"$1 under $10,000"
179,IA,3,298780,5158812,3822533,71022,23609,12674247568,2012.0,"$10,000 under $25,000"
180,IA,4,351460,12770079,10082010,121359,70303,54550336876,2012.0,"$25,000 under $50,000"
181,IA,5,216670,13370706,10161778,139777,110191,108239314036,2012.0,"$50,000 under $75,000"
182,IA,6,142750,12344787,9284516,138326,132381,164787257225,2012.0,"$75,000 under $100,000"
183,IA,7,150840,19780232,14175961,304819,444417,661765515702,2012.0,"$100,000 under $200,000"
184,IA,8,32060,9175675,4944552,281578,754224,1166608369989,2012.0,"$200,000 under $500,000"
185,IA,9,5350,3610521,1528753,153776,591606,805986100848,2012.0,"$500,000 under $1,000,000"
186,IA,10,2400,6592574,1278615,422649,1792114,222238163589,2012.0,"$1,000,000 or more"
187,KS,0,1323740,78767293,53934152,2375311,4151097,49445842407914,2012.0,No AGI Stub
188,KS,1,17570,-1346296,126937,25438,75911,-303647-111641,2012.0,Under $1
189,KS,2,218760,1102836,857670,24814,1902,-323570427,2012.0,"$1 under $10,000"
190,KS,3,285950,4922510,3752720,57980,24245,4634242153,2012.0,"$10,000 under $25,000"
191,KS,4,314760,11376029,9169236,99619,56331,46135309215,2012.0,"$25,000 under $50,000"
192,KS,5,185900,11468793,8833391,123748,96926,85356289468,2012.0,"$50,000 under $75,000"
193,KS,6,119520,10345013,7899854,121357,109732,118827252497,2012.0,"$75,000 under $100,000"
194,KS,7,139920,18548662,13717722,286169,356919,582802571554,2012.0,"$100,000 under $200,000"
195,KS,8,32860,9359299,5632694,276142,527967,1161926456797,2012.0,"$200,000 under $500,000"
196,KS,9,5690,3851549,1884785,183541,415484,861856148497,2012.0,"$500,000 under $1,000,000"
197,KS,10,2820,9138897,2059144,1176504,2485680,2389930178947,2012.0,"$1,000,000 or more"
198,KY,0,1879100,93338797,67687458,2159162,3451415,44416232954271,2012.0,No AGI Stub
199,KY,1,23930,-1604239,148250,28666,97053,-329187-91379,2012.0,Under $1
200,KY,2,315420,1691080,1313218,25925,5437,-8252190337,2012.0,"$1 under $10,000"
201,KY,3,475870,8114829,6138419,70333,29718,15387532954,2012.0,"$10,000 under $25,000"
202,KY,4,458380,16488577,13211698,114805,69112,73332391595,2012.0,"$25,000 under $50,000"
203,KY,5,252900,15567568,12106659,134999,95783,122040304556,2012.0,"$50,000 under $75,000"
204,KY,6,155110,13388306,10356559,128246,108516,156713251462,2012.0,"$75,000 under $100,000"
205,KY,7,157980,20648859,15531749,313649,350294,666197548559,2012.0,"$100,000 under $200,000"
206,KY,8,31910,9122653,5661006,308503,485893,1269484498896,2012.0,"$200,000 under $500,000"
207,KY,9,5240,3519083,1698753,173800,364596,837892189715,2012.0,"$500,000 under $1,000,000"
208,KY,10,2360,6402080,1521147,860237,1845013,1638018137577,2012.0,"$1,000,000 or more"
209,LA,0,2011770,110334415,77876879,2670932,4978446,90169414099329,2012.0,No AGI Stub
210,LA,1,26000,-3235999,272731,106515,218487,-661205-327331,2012.0,Under $1
211,LA,2,315590,1779767,1409351,26688,-905,-10899229607,2012.0,"$1 under $10,000"
212,LA,3,550680,9295149,7482994,77609,13547,8805634116,2012.0,"$10,000 under $25,000"
213,LA,4,467240,16821724,14026248,120610,49143,73848332419,2012.0,"$25,000 under $50,000"
214,LA,5,246830,15166660,12124938,130924,74518,129818336908,2012.0,"$50,000 under $75,000"
215,LA,6,153510,13284560,10572955,119436,91003,185837311114,2012.0,"$75,000 under $100,000"
216,LA,7,193400,25695427,19895936,311064,360579,856515882312,2012.0,"$100,000 under $200,000"
217,LA,8,45710,13101968,7444775,353078,593724,21107011063667,2012.0,"$200,000 under $500,000"
218,LA,9,8270,5627340,2230060,232681,538313,1735835333938,2012.0,"$500,000 under $1,000,000"
219,LA,10,4550,12797820,2416892,1192326,3040037,4587687302580,2012.0,"$1,000,000 or more"
220,ME,0,631380,32436809,22779316,835579,1482746,14691231331291,2012.0,No AGI Stub
221,ME,1,9430,-408590,54068,10958,20041,-93805-43476,2012.0,Under $1
222,ME,2,100980,522331,402221,15208,-1446,-269655862,2012.0,"$1 under $10,000"
223,ME,3,146880,2537783,1842757,39335,9622,5574188808,2012.0,"$10,000 under $25,000"
224,ME,4,158760,5726403,4436064,69170,31935,32368244829,2012.0,"$25,000 under $50,000"
225,ME,5,91460,5623870,4261785,77377,48493,51381193980,2012.0,"$50,000 under $75,000"
226,ME,6,54820,4725591,3587643,75625,57419,62388141938,2012.0,"$75,000 under $100,000"
227,ME,7,54940,7195324,5242016,173603,188173,246496266831,2012.0,"$100,000 under $200,000"
228,ME,8,11550,3291876,1995201,149820,254704,375252174332,2012.0,"$200,000 under $500,000"
229,ME,9,1770,1187682,550315,81255,187824,21899558704,2012.0,"$500,000 under $1,000,000"
230,ME,10,800,2034538,407246,143228,685981,57317049482,2012.0,"$1,000,000 or more"
231,MD,0,2860930,204384291,149275313,4387026,7877256,110638166181856,2012.0,No AGI Stub
232,MD,1,32030,-2539187,297890,56428,146139,-625824-179671,2012.0,Under $1
233,MD,2,393020,2020407,1558577,48878,-5522,-8912290376,2012.0,"$1 under $10,000"
234,MD,3,541790,9300627,7008430,106302,12512,17485718253,2012.0,"$10,000 under $25,000"
235,MD,4,641070,23386797,19302063,186501,38460,86566474297,2012.0,"$25,000 under $50,000"
236,MD,5,403860,24873956,19651474,254354,71422,140038406577,2012.0,"$50,000 under $75,000"
237,MD,6,274300,23791272,18577857,274235,113693,166332409464,2012.0,"$75,000 under $100,000"
238,MD,7,431800,58949233,46798357,821611,534030,8701891328416,2012.0,"$100,000 under $200,000"
239,MD,8,120470,33308854,24250503,804817,1045934,22696021551193,2012.0,"$200,000 under $500,000"
240,MD,9,15130,10201984,5540619,413372,873462,2320460510718,2012.0,"$500,000 under $1,000,000"
241,MD,10,7460,21090347,6289543,1420529,5047127,5827881672234,2012.0,"$1,000,000 or more"
242,MA,0,3264490,260735756,177006071,8051012,21804823,169744759716579,2012.0,No AGI Stub
243,MA,1,42210,-2911046,319875,90805,95881,-648648-99179,2012.0,Under $1
244,MA,2,494760,2473223,1903765,82197,-12877,-12542241647,2012.0,"$1 under $10,000"
245,MA,3,605360,10369770,7486891,180590,21900,18891802757,2012.0,"$10,000 under $25,000"
246,MA,4,723500,26433643,21081759,298489,75505,979271068011,2012.0,"$25,000 under $50,000"
247,MA,5,454100,27938281,21688379,374198,135093,160434910655,2012.0,"$50,000 under $75,000"
248,MA,6,296520,25702827,19847052,370706,188277,214523835330,2012.0,"$75,000 under $100,000"
249,MA,7,462230,63023877,50306748,1062401,886057,10534152241491,2012.0,"$100,000 under $200,000"
250,MA,8,147470,42180202,31099834,1259718,1905159,27088832147738,2012.0,"$200,000 under $500,000"
251,MA,9,24640,16683408,9899639,761840,1670567,2558595798107,2012.0,"$500,000 under $1,000,000"
252,MA,10,13710,48841570,13372130,3570068,16839261,10822997770022,2012.0,"$1,000,000 or more"
253,MI,0,4631040,252983502,174615849,6275195,8596188,154920337759247,2012.0,No AGI Stub
254,MI,1,66870,-4456515,371147,89135,121988,-688234-155560,2012.0,Under $1
255,MI,2,866280,4275981,3015371,99853,-38301,-10321462849,2012.0,"$1 under $10,000"
256,MI,3,1100750,18521366,12579054,233911,3888,460651351032,2012.0,"$10,000 under $25,000"
257,MI,4,1007780,36440636,26944733,374813,66822,180175904332,2012.0,"$25,000 under $50,000"
258,MI,5,608610,37538871,27693465,423311,138310,265502739612,2012.0,"$50,000 under $75,000"
259,MI,6,393420,34020363,25382104,407363,197838,335161654935,2012.0,"$75,000 under $100,000"
260,MI,7,465630,61612310,47130674,893442,684259,13442571533844,2012.0,"$100,000 under $200,000"
261,MI,8,98020,27852884,18984469,808112,1062255,26544801322446,2012.0,"$200,000 under $500,000"
262,MI,9,15890,10713931,6025581,475393,855204,2161081490134,2012.0,"$500,000 under $1,000,000"
263,MI,10,7810,26463676,6489249,2469863,5503924,9203867455622,2012.0,"$1,000,000 or more"
264,MN,0,2619920,172341815,122223877,3874017,9338448,110673274637993,2012.0,No AGI Stub
265,MN,1,31760,-2432083,245302,42665,112807,-432185-157893,2012.0,Under $1
266,MN,2,403960,2027754,1645691,52177,-2550,-4909145215,2012.0,"$1 under $10,000"
267,MN,3,503770,8667030,6477175,123741,37930,26942496451,2012.0,"$10,000 under $25,000"
268,MN,4,607240,22111348,17641433,206020,110552,140609655711,2012.0,"$25,000 under $50,000"
269,MN,5,381340,23548472,18076813,238972,164674,238914608395,2012.0,"$50,000 under $75,000"
270,MN,6,262500,22733005,17431168,244226,216381,324113530022,2012.0,"$75,000 under $100,000"
271,MN,7,328030,43665724,33925660,595360,779376,13183931130389,2012.0,"$100,000 under $200,000"
272,MN,8,81160,23116338,15842482,595075,1262605,2374161800365,2012.0,"$200,000 under $500,000"
273,MN,9,13650,9198485,5109715,340594,1022026,1722842224073,2012.0,"$500,000 under $1,000,000"
274,MN,10,6530,19705742,5828437,1435185,5634648,5358447205265,2012.0,"$1,000,000 or more"
275,MS,0,1250140,56030537,40993194,862144,1872908,33122952138146,2012.0,No AGI Stub
276,MS,1,16680,-1409229,120738,20215,53503,-149847-101627,2012.0,Under $1
277,MS,2,202600,1167512,911855,12241,-832,392160678,2012.0,"$1 under $10,000"
278,MS,3,387890,6539497,5329926,36041,12253,4779445956,2012.0,"$10,000 under $25,000"
279,MS,4,301530,10701035,8978466,53588,27109,36284199952,2012.0,"$25,000 under $50,000"
280,MS,5,144710,8883109,6949509,66351,44925,63913182389,2012.0,"$50,000 under $75,000"
281,MS,6,84150,7265144,5561077,57553,55212,84080165652,2012.0,"$75,000 under $100,000"
282,MS,7,89520,11746715,8611596,142222,181320,401451391903,2012.0,"$100,000 under $200,000"
283,MS,8,18410,5247992,2978220,134890,246329,829202414860,2012.0,"$200,000 under $500,000"
284,MS,9,3190,2143276,913791,83837,206193,616988160484,2012.0,"$500,000 under $1,000,000"
285,MS,10,1460,3745486,638018,255205,1046897,1425054117900,2012.0,"$1,000,000 or more"
286,MO,0,2728430,148386175,104565112,5068302,5856314,83461094590392,2012.0,No AGI Stub
287,MO,1,40960,-2903454,244361,47576,99144,-574816-153408,2012.0,Under $1
288,MO,2,458610,2377300,1813864,55578,-2317,-9061213726,2012.0,"$1 under $10,000"
289,MO,3,650170,11123811,8405331,139281,43521,23358670829,2012.0,"$10,000 under $25,000"
290,MO,4,656370,23648791,18833894,234446,119228,99916663351,2012.0,"$25,000 under $50,000"
291,MO,5,370630,22807794,17430434,269447,168115,164752518644,2012.0,"$50,000 under $75,000"
292,MO,6,229170,19791648,15027379,253467,197852,200058428160,2012.0,"$75,000 under $100,000"
293,MO,7,252350,33327560,24992802,572505,572775,895558928275,2012.0,"$100,000 under $200,000"
294,MO,8,55340,15782271,10110142,532790,845824,1734000804522,2012.0,"$200,000 under $500,000"
295,MO,9,9860,6673059,3440584,312052,669489,1479972274978,2012.0,"$500,000 under $1,000,000"
